id_album;nombre_album;id_obra;fecha_creacion;descripcion_album
1;album1;1;2012-12-12;Lorem ipsum dolor sit amet consectetur adipisicing elit.
2;album2;2;2012-12-13;Lorem ipsum dolor sit amet consectetur adipisicing elit.
3;album3;3;2012-12-14;Lorem ipsum dolor sit amet consectetur adipisicing elit.
4;album4;4;2012-12-15;Lorem ipsum dolor sit amet consectetur adipisicing elit.
5;album5;5;2012-12-16;Lorem ipsum dolor sit amet consectetur adipisicing elit.
6;album6;6;2012-12-17;Lorem ipsum dolor sit amet consectetur adipisicing elit.
7;album7;7;2012-12-18;Lorem ipsum dolor sit amet consectetur adipisicing elit.
8;album8;8;2012-12-19;Lorem ipsum dolor sit amet consectetur adipisicing elit.
9;album9;9;2012-12-20;Lorem ipsum dolor sit amet consectetur adipisicing elit.
10;album10;10;2012-12-21;Lorem ipsum dolor sit amet consectetur adipisicing elit.
11;album11;11;2012-12-22;Lorem ipsum dolor sit amet consectetur adipisicing elit.
12;album12;12;2012-12-23;Lorem ipsum dolor sit amet consectetur adipisicing elit.
13;album13;13;2012-12-24;Lorem ipsum dolor sit amet consectetur adipisicing elit.
14;album14;14;2012-12-25;Lorem ipsum dolor sit amet consectetur adipisicing elit.
15;album15;15;2012-12-26;Lorem ipsum dolor sit amet consectetur adipisicing elit.
16;album16;16;2012-12-27;Lorem ipsum dolor sit amet consectetur adipisicing elit.
17;album17;17;2012-12-28;Lorem ipsum dolor sit amet consectetur adipisicing elit.
18;album18;18;2012-12-29;Lorem ipsum dolor sit amet consectetur adipisicing elit.
19;album19;19;2012-12-30;Lorem ipsum dolor sit amet consectetur adipisicing elit.
20;album20;20;2012-12-31;Lorem ipsum dolor sit amet consectetur adipisicing elit.
21;album21;21;2013-01-01;Lorem ipsum dolor sit amet consectetur adipisicing elit.
22;album22;22;2013-01-02;Lorem ipsum dolor sit amet consectetur adipisicing elit.
23;album23;23;2013-01-03;Lorem ipsum dolor sit amet consectetur adipisicing elit.
24;album24;24;2013-01-04;Lorem ipsum dolor sit amet consectetur adipisicing elit.
25;album25;25;2013-01-05;Lorem ipsum dolor sit amet consectetur adipisicing elit.
26;album26;26;2013-01-06;Lorem ipsum dolor sit amet consectetur adipisicing elit.
27;album27;27;2013-01-07;Lorem ipsum dolor sit amet consectetur adipisicing elit.
28;album28;28;2013-01-08;Lorem ipsum dolor sit amet consectetur adipisicing elit.
29;album29;29;2013-01-09;Lorem ipsum dolor sit amet consectetur adipisicing elit.
30;album30;30;2013-01-10;Lorem ipsum dolor sit amet consectetur adipisicing elit.
31;album31;1;2013-01-11;Lorem ipsum dolor sit amet consectetur adipisicing elit.
